fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2022,NC,North Carolina,Vance County,Vance,"Vance, NC",Kerr-Tar Workforce Development Board,Active Apprentices,9,17.86125,21
FY 2025,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Active Apprentices,1117,17.88776906,17.17
FY 2025,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,New Apprentices,326,20.04348837,17.8
FY 2025,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Completer Apprentices,373,23.98111455,25
FY 2024,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Active Apprentices,1381,17.14824545,17.8
FY 2024,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,New Apprentices,765,18.06617994,18
FY 2024,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Completer Apprentices,260,23.30434783,22.01
FY 2023,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Active Apprentices,1185,16.08781996,16
FY 2023,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,New Apprentices,392,16.60664756,17
FY 2023,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Completer Apprentices,299,25.05372881,25
FY 2022,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Active Apprentices,1275,16.22655135,17.8
FY 2022,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,New Apprentices,557,17.24991131,17.8
FY 2022,NC,North Carolina,Wake County,Wake,"Wake, NC",Capital Area Workforce Development Board,Completer Apprentices,375,25.42703072,25
FY 2025,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Active Apprentices,8,12.8325,10.5
FY 2025,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,New Apprentices,5,10.2,10
FY 2025,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Completer Apprentices,4,18.7925,15.98
FY 2024,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Active Apprentices,10,14.182,13.5
FY 2024,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,New Apprentices,3,13.05333333,10
FY 2024,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Completer Apprentices,2,26,26
FY 2023,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Active Apprentices,9,14.75777778,15
FY 2023,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,New Apprentices,6,13.83333333,13.5
FY 2023,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Completer Apprentices,1,33.9,33.9
FY 2022,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Active Apprentices,6,17.24666667,18.33
FY 2022,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,New Apprentices,4,16.29,17.5
FY 2022,NC,North Carolina,Watauga County,Watauga,"Watauga, NC",High Country Workforce Development Board,Completer Apprentices,2,31.21,31.21
FY 2025,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Active Apprentices,96,14.6225,14.45
FY 2025,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,New Apprentices,31,14.88225806,14.4
FY 2025,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Completer Apprentices,14,23.20571429,23.72
FY 2024,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Active Apprentices,100,14.2193,14.4
FY 2024,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,New Apprentices,35,15.31085714,15.08
FY 2024,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Completer Apprentices,19,20.56631579,21
FY 2023,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Active Apprentices,113,13.16902655,14.14
FY 2023,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,New Apprentices,33,13.96666667,14.5
FY 2023,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Completer Apprentices,16,23.6325,23.02
FY 2022,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Active Apprentices,124,12.40322581,11.02
FY 2022,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,New Apprentices,25,13.9752,14.4
FY 2022,NC,North Carolina,Wayne County,Wayne,"Wayne, NC",Eastern Carolina Workforce Development Board,Completer Apprentices,3,21.34666667,22
FY 2025,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Active Apprentices,10,9.225,10
FY 2025,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Completer Apprentices,2,18.86,18.86
FY 2024,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Active Apprentices,14,11.49357143,10
FY 2024,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Completer Apprentices,5,20.088,18.86
FY 2023,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Active Apprentices,26,11.67038462,10
FY 2023,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,New Apprentices,15,13.47866667,15
FY 2023,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Completer Apprentices,2,23.36,23.36
FY 2022,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Active Apprentices,13,9.903846154,10
FY 2022,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,New Apprentices,1,9,9
FY 2022,NC,North Carolina,Wilkes County,Wilkes,"Wilkes, NC",High Country Workforce Development Board,Completer Apprentices,1,26,26
FY 2025,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Active Apprentices,24,15.28375,15.3
FY 2025,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Completer Apprentices,4,28.125,28.625
FY 2024,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Active Apprentices,31,15.42387097,15.3
FY 2024,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,New Apprentices,4,17.5025,17.5
FY 2024,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Completer Apprentices,3,23.16666667,23
FY 2023,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Active Apprentices,36,15.90833333,16
FY 2023,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,New Apprentices,12,19.31916667,19.505
FY 2023,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Completer Apprentices,5,26.794,26.82
FY 2022,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Active Apprentices,60,14.57933333,15
FY 2022,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,New Apprentices,28,16.81,16
FY 2022,NC,North Carolina,Wilson County,Wilson,"Wilson, NC",Turning Point Workforce Development Board,Completer Apprentices,13,25.76384615,25.5
FY 2025,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Active Apprentices,5,15.2,15
FY 2025,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,New Apprentices,4,14.75,15.5
FY 2025,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Completer Apprentices,5,17.18,15.5
FY 2024,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Active Apprentices,12,14.22916667,14
FY 2024,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,New Apprentices,6,16.08333333,17.5
FY 2024,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Completer Apprentices,6,15.025,15
FY 2023,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Active Apprentices,16,12.74875,12.125
FY 2023,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,New Apprentices,11,13.15727273,12.25
FY 2023,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Completer Apprentices,1,16.5,16.5
FY 2022,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,Active Apprentices,10,11.85,12
FY 2022,NC,North Carolina,Yancey County,Yancey,"Yancey, NC",High Country Workforce Development Board,New Apprentices,10,11.85,12
FY 2025,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Active Apprentices,10,17.53,18.27
FY 2025,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,New Apprentices,9,17.33333333,15
FY 2025,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Completer Apprentices,2,38.565,38.565
FY 2024,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Active Apprentices,33,18,18
FY 2024,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,New Apprentices,51,16.36764706,15.22
FY 2024,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Completer Apprentices,2,25.35,25.35
FY 2023,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Active Apprentices,18,26.625,26.22
FY 2023,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,New Apprentices,42,22.48428571,17.15
FY 2023,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Completer Apprentices,1,32.52,32.52
FY 2022,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Active Apprentices,24,10.1875,10
FY 2022,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,New Apprentices,13,44.23076923,46
FY 2022,TX,Texas,Andrews County,Andrews,"Andrews, TX",Workforce Solutions Permian Basin,Completer Apprentices,15,32.754,34.95
FY 2025,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Active Apprentices,4,24.96,24.96
FY 2025,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Completer Apprentices,1116,7.25,0.01
FY 2024,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Active Apprentices,5,24.132,25.29
FY 2024,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,New Apprentices,5,16.076,15.97
FY 2024,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Completer Apprentices,6,40.67666667,40.5
FY 2023,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Active Apprentices,23,14.71782609,12
FY 2023,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,New Apprentices,51,27.31588235,26.43
FY 2023,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Completer Apprentices,24,28.4675,29.41
FY 2022,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,Active Apprentices,16,21.670625,20.06
FY 2022,TX,Texas,Angelina County,Angelina,"Angelina, TX",Workforce Solutions Deep East Texas,New Apprentices,22,13.72909091,13.7
FY 2025,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Active Apprentices,7,12.28571429,11
FY 2025,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,New Apprentices,87,43.72931034,46.24
FY 2025,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Completer Apprentices,2016,18.01358135,17
FY 2024,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Active Apprentices,8,14.73625,15.78
FY 2024,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,New Apprentices,3,15.33333333,15
FY 2024,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Completer Apprentices,2780,17.9694102,16.17
FY 2023,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Active Apprentices,12,12.82,12.95
FY 2023,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,New Apprentices,10,,0.12
FY 2022,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Active Apprentices,6,25.82833333,25.76
FY 2022,TX,Texas,Austin County,Austin,"Austin, TX",Workforce Solutions Gulf Coast,Completer Apprentices,4,29.0125,25.35
FY 2025,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Active Apprentices,5,19.6,20
FY 2025,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,New Apprentices,1,31.52,31.52
FY 2025,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Completer Apprentices,3039,16.56339914,15.68
FY 2024,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Active Apprentices,5,12.752,12.68
FY 2024,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,New Apprentices,3,18,18
FY 2024,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Completer Apprentices,3,34.19,34.19
FY 2023,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Active Apprentices,11,,0.12
FY 2023,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,New Apprentices,6,25.695,26.69
FY 2023,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Completer Apprentices,3,21.66666667,20
FY 2022,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Active Apprentices,11,12.67181818,12.68
FY 2022,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,New Apprentices,2,,0.4
FY 2022,TX,Texas,Bandera County,Bandera,"Bandera, TX",Workforce Solutions Alamo,Completer Apprentices,1,38,38
FY 2025,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Active Apprentices,18,23.47222222,22.75
FY 2025,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,New Apprentices,14,17.4,18
FY 2025,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Completer Apprentices,5,36.122,42
FY 2024,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Active Apprentices,22,19.45,15
FY 2024,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,New Apprentices,13,18,18
FY 2024,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Completer Apprentices,13,14.84615385,14
FY 2023,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Active Apprentices,36,28.26666667,28
FY 2023,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,New Apprentices,5,26.012,25.29
FY 2023,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Completer Apprentices,12,37.8075,38.45
FY 2022,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,Active Apprentices,34,15.12735294,14.32
FY 2022,TX,Texas,Bastrop County,Bastrop,"Bastrop, TX",Workforce Solutions Rural Capital Area,New Apprentices,27,16.58074074,16.25
